BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF
64,24,22,0.00413899999967,39.804973,3.831287,43.664979,67.872183,7.488,4.87466666667,406.381,418.743666667,786.6,404,226,1.94702970297,3.48053097345,1.87847617198,46.7653614713,-3.64942244224,-85.2848082596
64,24,34,0.0040170000002,21.080292,2.928815,24.028675,40.191453,7.488,2.7285,398.506,408.7225,786.6,404,226,1.94702970297,3.48053097345,1.92453314902,48.0393465548,-1.16893564356,-80.8506637168
64,24,46,0.00482900000043,6.61598,1.911063,8.541516,18.040909,7.488,1.16116666667,380.203,388.852166667,786.6,404,226,1.94702970297,3.48053097345,2.02287673165,50.5654504619,3.74946369637,-72.058480826
64,24,58,0.00406000000021,3.564352,1.341778,4.918378,9.648305,7.488,0.571166666667,372.414,380.473166667,786.6,404,226,1.94702970297,3.48053097345,2.06742569231,51.6306678532,5.82347359736,-68.3509587021
64,24,70,0.00397299999986,2.893559,1.052138,3.956973,6.25626,7.488,0.307666666667,373.177,380.972666667,786.6,404,226,1.94702970297,3.48053097345,2.06471505392,51.567166709,5.6998349835,-68.5719764012
64,24,82,0.00404099999923,2.807356,0.996999999999,3.814353,5.468455,7.488,0.238833333333,379.229,386.955833333,786.6,404,226,1.94702970297,3.48053097345,2.03279013324,50.8065302144,4.21885313531,-71.2193952802
64,24,94,0.00408799999968,2.705073,0.960971,3.675787,4.513446,7.488,0.16,393.622,401.27,786.6,404,226,1.94702970297,3.48053097345,1.96027612331,48.9867785406,0.675742574257,-77.5530973451
64,28,10,0.00411799999983,98.50587,7.06109,105.636414,206.363505,8.736,14.4106666667,427.317,450.463666667,786.6,404,226,1.94702970297,3.48053097345,1.74620076647,42.7328163404,-11.5009075908,-99.3202064897
64,28,22,0.00409800000034,48.79953,4.270594,53.113889,78.675132,8.736,5.02466666667,426.684,440.444666667,786.6,404,226,1.94702970297,3.48053097345,1.78592240872,44.0065259768,-9.02095709571,-94.887020649
64,28,34,0.0039969999998,19.701226,3.041834,22.761371,38.52154,8.736,2.541,411.366,422.643,786.6,404,226,1.94702970297,3.48053097345,1.86114522185,46.269641495,-4.6146039604,-87.0101769912
64,28,46,0.00492000000031,6.171022,1.840977,8.026628,15.937079,8.736,0.950833333333,395.769,405.455833333,786.6,404,226,1.94702970297,3.48053097345,1.94003868074,48.4546359861,-0.360354785479,-79.4052359882
64,28,58,0.004097,4.129063,1.249234,5.388831,8.094005,8.736,0.420833333333,391.189,400.345833333,786.6,404,226,1.94702970297,3.48053097345,1.96480126557,49.1042673108,0.90449669967,-77.1441740413
64,28,70,0.00454900000022,4.007063,1.14544,5.163478,6.857544,8.736,0.3215,394.687,403.7445,786.6,404,226,1.94702970297,3.48053097345,1.94826183391,48.6721967963,0.0632425742574,-78.6480088496
64,28,82,0.00399599999946,3.911433,1.097955,5.020563,6.244892,8.736,0.268,399.379,408.383,786.6,404,226,1.94702970297,3.48053097345,1.92613306626,48.0825069921,-1.0849009901,-80.7004424779
64,28,94,0.00429700000041,3.747367,1.04687,4.803042,4.89727,8.736,0.163833333333,415.147,424.046833333,786.6,404,226,1.94702970297,3.48053097345,1.8549837852,46.0911729808,-4.96208745875,-87.6313421829
64,32,10,0.00414100000035,114.235706,7.341042,121.640183,225.31071,10.752,13.4786666667,446.081,470.311666667,786.6,404,226,1.94702970297,3.48053097345,1.67250794686,40.2095516569,-16.4137788779,-108.102507375
64,32,22,0.00397599999997,50.034164,4.39455,54.457221,75.98626,10.752,4.9025,440.665,456.3195,786.6,404,226,1.94702970297,3.48053097345,1.72379221138,41.9883676583,-12.9503712871,-101.911283186
64,32,34,0.00396400000045,17.110989,2.94185,20.069391,35.173824,10.752,2.24283333333,423.199,436.193833333,786.6,404,226,1.94702970297,3.48053097345,1.80332673204,44.5469319434,-7.96877062706,-93.006120944
64,32,46,0.00433100000009,6.390441,1.764514,8.166547,14.169977,10.752,0.816833333333,412.187,423.755833333,786.6,404,226,1.94702970297,3.48053097345,1.85625763264,46.1281676413,-4.89005775578,-87.5025811209
